"YEAR","citations"
"2026","57"
"2025","1452279"
"2024","4426177"
"2023","4227892"
"2022","4157239"
"2021","4080586"
"2020","3813113"
"2019","3609204"
"2018","3367811"
"2017","3252106"
"2016","3137518"
"2015","3013097"
"2014","2989069"
"2013","2948679"
"2012","2810361"
"2011","2675606"
"2010","2514175"
"2009","2381737"
"2008","2269337"
"2007","2165623"
"2006","2058529"
"2005","1953448"
"2004","1713539"
"2003","1597425"
"2002","1496843"
"2001","1426981"
"2000","1315836"
